,last_weight,average_weight,last_weight^2,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,average_adg
57,13.88,9.786,192.6544,13.88,388.64000000000004,416.40000000000003,68.9836,78.2832,319.24,109.65200000000002,527.44,1485.16,9.786,274.008,293.58,48.636419999999994,55.193039999999996,225.078,77.3094,371.868,1047.1019999999999,0.185
58,10.58,8.065,111.9364,10.58,302.8936444444445,319.52775555555553,57.39209166666667,59.6712,214.5565222222222,86.40333333333332,402.04,804.08,8.065,230.8919888888889,243.57196111111108,43.749264583333336,45.486599999999996,163.55371944444443,65.86416666666666,306.46999999999997,612.9399999999999,0.204
59,9.28,7.498,86.1184,9.28,265.5870647887324,279.14632112676054,46.121599999999994,52.33919999999999,176.8375887323944,75.61239436619718,352.64,714.56,7.498,214.58747971830988,225.54300816901412,37.26506,42.28872,142.8801983098592,61.09285915492958,284.92400000000004,577.346,0.149
60,7.63,5.828,58.216899999999995,7.63,213.64,228.9,37.921099999999996,43.033199999999994,175.49,60.277,289.94,587.51,5.828,163.184,174.84,28.96516,32.86992,134.044,46.0412,221.464,448.75600000000003,0.145
61,17.36,10.561,301.3696,17.36,486.08,520.8,86.27919999999999,97.9104,399.28,137.144,659.68,1631.84,10.561,295.70799999999997,316.83,52.48817,59.56404,242.903,83.4319,401.318,992.734,0.272
62,20.97,11.431,439.74089999999995,20.97,587.16,629.0999999999999,104.22089999999999,118.27079999999998,482.30999999999995,165.663,796.8599999999999,2159.91,11.431,320.068,342.92999999999995,56.81206999999999,64.47084,262.91299999999995,90.3049,434.378,1177.3929999999998,0.28
63,5.0,4.54,25.0,5.0,140.0,150.0,24.849999999999998,28.2,115.0,39.5,190.0,270.0,4.54,127.12,136.2,22.5638,25.6056,104.42,35.866,172.52,245.16,0.087
64,21.87,13.611,478.29690000000005,21.87,612.36,656.1,108.6939,123.3468,503.01000000000005,172.77300000000002,831.0600000000001,1771.47,13.611,381.108,408.33000000000004,67.64667,76.76604,313.053,107.52690000000001,517.2180000000001,1102.491,0.408
65,22.27,14.044,495.9529,22.27,623.56,668.1,110.6819,125.60279999999999,512.21,175.933,846.26,1870.68,14.044,393.232,421.32,69.79868,79.20815999999999,323.012,110.94760000000001,533.672,1179.6960000000001,0.406
66,22.1,13.0,488.4100000000001,22.1,618.8000000000001,663.0,109.837,124.644,508.3,174.59000000000003,839.8000000000001,1856.4,13.0,364.0,390.0,64.61,73.32,299.0,102.7,494.0,1092.0,0.464
67,18.88,11.439,356.45439999999996,18.88,528.64,566.4,93.83359999999999,106.48319999999998,434.23999999999995,149.152,717.4399999999999,1453.76,11.439,320.29200000000003,343.17,56.85183,64.51595999999999,263.097,90.3681,434.682,880.803,0.379
68,22.34,12.899,499.0756,22.34,625.52,670.2,111.0298,125.99759999999999,513.82,176.48600000000002,848.92,1720.18,12.899,361.17199999999997,386.96999999999997,64.10803,72.75035999999999,296.67699999999996,101.9021,490.162,993.223,0.436
69,17.25,10.065,297.5625,17.25,483.0,517.5,85.7325,97.28999999999999,396.75,136.275,655.5,897.0,10.065,281.82,301.95,50.02305,56.7666,231.49499999999998,79.5135,382.46999999999997,523.38,0.409
70,23.36,14.79,545.6895999999999,23.36,654.0799999999999,700.8,116.0992,131.75039999999998,537.28,184.544,887.68,1798.72,14.79,414.12,443.7,73.5063,83.41559999999998,340.16999999999996,116.841,562.02,1138.83,0.442
71,23.88,14.596,570.2543999999999,23.88,668.64,716.4,118.68359999999998,134.6832,549.24,188.652,907.4399999999999,1838.76,14.596,408.688,437.88,72.54212,82.32144,335.708,115.3084,554.648,1123.892,0.453
72,22.7,12.741,515.29,22.7,635.6,681.0,112.81899999999999,128.028,522.1,179.33,862.6,1884.1,12.741,356.748,382.23,63.32277,71.85924,293.043,100.65390000000001,484.158,1057.503,0.442
73,21.62,14.453,467.42440000000005,21.62,605.36,648.6,107.45139999999999,121.9368,497.26000000000005,170.798,821.5600000000001,1751.22,14.453,404.68399999999997,433.59,71.83140999999999,81.51491999999999,332.419,114.1787,549.2139999999999,1170.693,0.386
74,17.25,11.873,297.5625,17.25,483.0,517.5,85.7325,97.28999999999999,396.75,136.275,655.5,1207.5,11.873,332.44399999999996,356.19,59.00881,66.96372,273.079,93.7967,451.174,831.1099999999999,0.386
75,21.68,15.21,470.0224,21.68,607.04,650.4,107.74959999999999,122.2752,498.64,171.272,823.84,1734.4,15.21,425.88,456.3,75.5937,85.7844,349.83000000000004,120.159,577.98,1216.8000000000002,0.358
76,24.39,14.924,594.8721,24.39,682.9200000000001,731.7,121.2183,137.5596,560.97,192.681,926.82,2024.3700000000001,14.924,417.87199999999996,447.71999999999997,74.17228,84.17135999999999,343.252,117.8996,567.112,1238.692,0.446
